Author,Compelling.Evidence,Mechanism,Replication,Attribute,M_code,A_code,R_Attribute,Year,SI_Domain,n
"amjath-babu et al., 2016","the study aimed to assess the potential for transitioning to groundwater irrigated agriculture in sub-saharan african countries. by using principal component analysis, the research identified framework conditions, policy instruments, farm conditions, and market/farm constraints. the study then ranked ten sub-saharan african nations based on these components, providing insights into their opportunities and challenges for adopting groundwater irrigation.
key conclusions:
malawi, with its low yielding yet shallow aquifers, is suitable for supplementary irrigation. there are opportunities for intensifying high-value crops, while improving market access and infrastructure. 
key evidence:a.	farm conditions in malawi
•	the study established that malawi, with generally low yielding but shallow aquifers, was suitable for supplementary irrigation or livestock watering using diesel or manual pumps.
b.	challenges in malawi
•	the study found that malawi faced challenges such as low electricity penetration in rural areas, as a constraint in groundwater extraction, however it suggested use of alternative sources of energy such as diesel or manual pumps.
c.	transition opportunities
•	malawi showed low availability of arable land per capita, necessitating the need to focus on agriculture intensification.
•	the results showed that malawi had high potential to use groundwater irrigation for high-value crops, especially in peri-urban areas.
d.	market access and infrastructure
•	the study revealed that improved smallholder access to markets and infrastructure was a necessity for malawi's agricultural development.
•	results showed that enhancements in road networks and market accessibility were crucial for facilitating the transition and improving farm gate prices.
e.	supplementary irrigation strategies
•	the study established that strategies to reduce fertilizer prices and decelerate nutrient depletion were decisive for the intensification process in malawi.
f.	sustainable resource management
•	it was shown that measures to reduce drilling costs and promote agroecological methods for soil quality improvement were essential considerations for malawi.
g.	credit facilities and policy support
•	the study found that the provision of credit facilities and policy support for farmers in malawi was crucial for initiating and sustaining the transition to groundwater-irrigated agriculture.
",crop/breed change,4,fertilizer use,3,107,fertilizer use,2016,productivity,18
"smith et al., 2016","this study was conducted in central malawi across three distinct agroecological zones to assess the performance of doubled-up legume rotation (dlr) system in maize-based cropping systems. data was collected from farmer participatory trials and household surveys to parameterize and calibrate the agricultural production systems simulator (apsim). the study aimed to evaluate the dlr system's ability to improve soil quality without compromising maize yields or household food production.
1.	predictive performance
evidence: results showed that simulation of maize and legume grain yields closely matched observed yields.
conclusion: the model accurately represents crop yield responses to n fertilization and legume introduction.
2.	seasonality vs yield 
evidence: results indicated that maize yields were highly responsive to fertilizer, particularly in more favorable growing seasons.
conclusion: fertilizer input has a significant impact on maize yield, with dlr and traditional rotation systems outperforming monoculture maize.
3.	production system vs soil conditions
evidence: the findings revealed that total soil carbon (c) and nitrogen (n) decreased over the study period for sole cropped maize systems.
conclusion: rotation with a grain legume mitigate soil c and n decrease, while pigeonpea addition maintain or increase soil c and n.
4.	chance of meeting food needs
evidence: results indicated that both traditional rotations and dlr systems consistently met household calorie and protein needs.
conclusion: these systems perform as well as or better than continuous maize systems receiving equivalent fertilizer inputs.

",crop/breed change,2,fertilizer use,3,107,fertilizer use,2016,productivity,18
"smith et al., 2016","this study was conducted in central malawi across three distinct agroecological zones to assess the performance of doubled-up legume rotation (dlr) system in maize-based cropping systems. data was collected from farmer participatory trials and household surveys to parameterize and calibrate the agricultural production systems simulator (apsim). the study aimed to evaluate the dlr system's ability to improve soil quality without compromising maize yields or household food production.
1.	predictive performance
evidence: results showed that simulation of maize and legume grain yields closely matched observed yields.
conclusion: the model accurately represents crop yield responses to n fertilization and legume introduction.
2.	seasonality vs yield 
evidence: results indicated that maize yields were highly responsive to fertilizer, particularly in more favorable growing seasons.
conclusion: fertilizer input has a significant impact on maize yield, with dlr and traditional rotation systems outperforming monoculture maize.
3.	production system vs soil conditions
evidence: the findings revealed that total soil carbon (c) and nitrogen (n) decreased over the study period for sole cropped maize systems.
conclusion: rotation with a grain legume mitigate soil c and n decrease, while pigeonpea addition maintain or increase soil c and n.
4.	chance of meeting food needs
evidence: results indicated that both traditional rotations and dlr systems consistently met household calorie and protein needs.
conclusion: these systems perform as well as or better than continuous maize systems receiving equivalent fertilizer inputs.

",crop/breed change,4,fertilizer use,3,107,fertilizer use,2016,productivity,18
NA,"this study  aimed to assess the impact of soybean production on nitrogen fixation and rotational benefits in smallholder farming systems. it involved quantifying biological nitrogen fixation in soybean plots across mchinji, dowa and salima using the natural abundance method. 
1.	socio-economic characteristics
evidence: the findings revealed that variability was observed across districts: dowa showed a higher proportion of female farmers and households with lower wealth, while salima featured younger farmers with limited labour; additionally, farmers in mchinji had a higher prevalence of livestock, and soil properties showed differences with dowa having higher organic carbon content and salima possessing higher ph, alongside considerable variability in soil available phosphorus content within each region.
conclusion: there is a significant socio-economic diversity among farmers across districts.
2.	biophysical characteristics
evidence: no significant differences were observed in soil properties between soybean-maize and continuous maize plots across regions, while varying rainfall patterns across regions and years influenced crop performance.
conclusion: biophysical factors, such as soil properties and rainfall, have an influence on crop productivity.
3.	biological nitrogen fixation (bnf) trial
evidence: results revealed that soybean grain yields showed variability across regions and years, influenced by factors such as rainfall distribution and weed pressure, with local soybean varieties demonstrating higher nitrogen fixation rates and a positive association between the percentage of nitrogen derived from the atmosphere (%ndfa) and factors like plant population and biomass accumulation.
conclusion: genetic, environmental, and management factors are important in influencing nitrogen fixation and soybean yields.
4.	rotation trial
evidence: results indicated that maize yields exhibited variation between regions, affected by input levels and preceding crops, with maize following soybean showing superior yields compared to continuous maize, and greater yield responses observed in farmers with higher maize yields and better access to resources.
conclusion: incorporating soybean in maize-based systems has potential benefits, particularly for enhancing maize yields and optimizing nutrient management practices.",crop/breed change,4,fertilizer use,3,107,fertilizer use,NA,productivity,18
"komarek et al., 2017

","the study was conducted in dedza district, central malawi and it focused on the impact of inorganic nitrogen fertilizer price changes on agricultural households reliant on maize production. it included developing and calibrating an agricultural household model using data from a household survey, which focused on socio-economic and agronomic factors. 
1.	fertilizer and yield
evidence:simulated and observed crop yields showed varying levels of accuracy, with maize yields positively responding to fertilizer, reflecting the nitrogen-friendly nature of maize in malawi.
conclusion: fertilizer is important in enhancing maize yields, therefore, the need for balanced fertilizer policies to support agricultural productivity.
2.	household model comparison
evidence: the findings indicated that the base-case scenario closely aligned with observed indicators of household production and consumption, with maize and legume production showing low percent absolute deviation.
conclusion: the household model effectively captures impacts of fertilizer price changes on household outcomes.
3.	fertilizer pricing vs use
evidence: results showed that as fertilizer prices increased, there was a corresponding decrease in fertilizer use, maize production, and household income, emphasizing the economic sensitivity of households to fertilizer price fluctuations.
conclusion: there is need for policymakers to consider the broader implications of fertilizer price policies on smallholder livelihoods.

",crop/breed change,4,fertilizer use,3,107,fertilizer use,NA,productivity,18
"berre et al., 2017","this study was conducted in malawi and aimed to assess the potential increase in efficiency of crop production among smallholder farmers. using data envelopment analysis (dea), the researchers examined farming systems' technical efficiency by comparing best-performing farms with a meta-frontier. they identified two farming system types.
1.	typology of smallholder farming systems in malawi
evidence: the study revealed two distinct farming systems: type 1, characterized by maize-based smallholders facing land constraints, heavily reliant on off-farm income, and predominantly cultivating maize on limited land; and type 2, comprising diversified crop-livestock producers with ample land, engaged in varied crop cultivation including maize and groundnut, deriving income primarily from cropping and livestock activities.
conclusion: understanding these farming system types is crucial for tailoring efficiency improvement strategies.
2.	efficiency yield gap
evidence: results showed that efficiency gains varied across farms, with some efficient farms having no potential for further improvement, while others could potentially increase efficiency.
conclusion: the existence of a technology gap between farming system types necessitate the need for context-specific interventions to improve efficiency.
3.	efficiency scores and their determinants
evidence:  results indicated that efficiency scores varied for different farming system types. for type 1 farms, efficiency increase was calculated through labor and input cost reduction, while for type 2 farms, it was calculated through increased crop calorie production with the same or fewer inputs.
conclusion: identifying efficiency determinants such as household size, land cultivation percentage, and farmer's age helps formulate targeted strategies for improving efficiency in different farming contexts.
4.	determinants of efficiency of farming systems in malawi
evidence: the findings showed a negative correlation between efficiency and land availability across all farms, indicating a productivity decrease with larger land sizes, while also noting a positive correlation between fertilizer use and efficiency,  smallholder farmers faced challenges in maintaining adequate rates due to cash shortages. 
conclusion: addressing factors like land pressure, fertilizer accessibility, and household demographics is crucial for enhancing efficiency in smallholder farming systems.
5.	 closing the yield gap or improving efficiency of smallholder farming systems?
evidence:  results revealed that efficiency gains may not necessarily require increased crop production but can be achieved through input optimization, depending on the farming system type.
conclusion: integrating farming system diversity into efficiency analyses is essential for accurately assessing potential gains and tailoring interventions to specific contexts.
",crop/breed change,4,fertilizer use,3,107,fertilizer use,2017,productivity,18
"dorward, chirwa and jayne, 2011","this research study examined malawi's agricultural input subsidy program from 2005/06 to 2008/09, focusing on its implementation and impact. parameters involved include nationwide distribution of heavily subsidized fertilizers and seeds, maize production and productivity, food availability, real wages, economic growth, and poverty reduction. the analysis assessed the logistical achievement of the program, its contribution to national maize production, and its economic returns. additionally, it considered challenges such as high international fertilizer prices and maize prices, and suggested measures to enhance program effectiveness and efficiency for sustainable development.
1.	agricultural input subsidy programme (aisp)
evidence: the results showed that the program effectively distributeed fertilizers and improved seeds to farmers through a voucher system.
conclusion: the aisp successfully implemented a voucher system to distribute agricultural inputs, facilitating access for farmers.
2.	voucher system
evidence: results indicated that approximately 50% of farmers were targeted for maize production, with vouchers for fertilizers and improved seeds.
conclusion: the voucher system effectively targeted a significant portion of farmers, ensuring access to essential inputs for maize production.
3.	fertilizer response with hybrid seeds
     evidence: results showed that hybrid seeds exhibit a higher yield response to fertilizers compared to traditional varieties, indicating increased productivity potential.
conclusion: the use of hybrid seeds shows promise for enhancing productivity by maximizing the yield response to fertilizers.
4.	incremental production estimates
evidence: the results indicated that the program resulted in significant incremental production estimates, contributing to improved food self-sufficiency at the national level.
conclusion: the program's impact on incremental production suggests a positive contribution to enhancing national food self-sufficiency.
5.	food self-sufficiency
evidence: the results showed that the program led to improved national food self-sufficiency, evidenced by reduced reliance on imports and increased maize production.
conclusion: the program effectively bolstered food self-sufficiency at the national level, reducing dependency on imports and enhancing domestic production.
6.	economic efficiency
evidence: the results explained that despite high costs, the program yield positive economic returns, particularly when there was a significant yield response to inputs.
conclusion: despite cost challenges, the program demonstrates positive economic returns, especially with a notable yield response to inputs.
7.	sustainability
evidence: the results indicated that challenges existed regarding the economic and political sustainability of the program, including high costs and fiscal efficiency concerns.
conclusion: the program faces sustainability challenges, highlighting the need for addressing cost and efficiency issues to ensure long-term viability.
8.	complementary policies and investments
evidence: the study showed that complementary policies and investments, such as infrastructure development and agricultural research, are crucial for supporting the effectiveness and sustainability of the subsidy program.
conclusion: implementing complementary policies and investments is essential for enhancing the effectiveness and sustainability of the subsidy program, emphasizing the importance of holistic approaches to agricultural development.

",crop/breed change,4,improved varieties,3,117,improved varieties,2011,economic,24
"dorward, chirwa and jayne, 2011","this research study examined malawi's agricultural input subsidy program from 2005/06 to 2008/09, focusing on its implementation and impact. parameters involved include nationwide distribution of heavily subsidized fertilizers and seeds, maize production and productivity, food availability, real wages, economic growth, and poverty reduction. the analysis assessed the logistical achievement of the program, its contribution to national maize production, and its economic returns. additionally, it considered challenges such as high international fertilizer prices and maize prices, and suggested measures to enhance program effectiveness and efficiency for sustainable development.
1.	agricultural input subsidy programme (aisp)
evidence: the results showed that the program effectively distributeed fertilizers and improved seeds to farmers through a voucher system.
conclusion: the aisp successfully implemented a voucher system to distribute agricultural inputs, facilitating access for farmers.
2.	voucher system
evidence: results indicated that approximately 50% of farmers were targeted for maize production, with vouchers for fertilizers and improved seeds.
conclusion: the voucher system effectively targeted a significant portion of farmers, ensuring access to essential inputs for maize production.
3.	fertilizer response with hybrid seeds
     evidence: results showed that hybrid seeds exhibit a higher yield response to fertilizers compared to traditional varieties, indicating increased productivity potential.
conclusion: the use of hybrid seeds shows promise for enhancing productivity by maximizing the yield response to fertilizers.
4.	incremental production estimates
evidence: the results indicated that the program resulted in significant incremental production estimates, contributing to improved food self-sufficiency at the national level.
conclusion: the program's impact on incremental production suggests a positive contribution to enhancing national food self-sufficiency.
5.	food self-sufficiency
evidence: the results showed that the program led to improved national food self-sufficiency, evidenced by reduced reliance on imports and increased maize production.
conclusion: the program effectively bolstered food self-sufficiency at the national level, reducing dependency on imports and enhancing domestic production.
6.	economic efficiency
evidence: the results explained that despite high costs, the program yield positive economic returns, particularly when there was a significant yield response to inputs.
conclusion: despite cost challenges, the program demonstrates positive economic returns, especially with a notable yield response to inputs.
7.	sustainability
evidence: the results indicated that challenges existed regarding the economic and political sustainability of the program, including high costs and fiscal efficiency concerns.
conclusion: the program faces sustainability challenges, highlighting the need for addressing cost and efficiency issues to ensure long-term viability.
8.	complementary policies and investments
evidence: the study showed that complementary policies and investments, such as infrastructure development and agricultural research, are crucial for supporting the effectiveness and sustainability of the subsidy program.
conclusion: implementing complementary policies and investments is essential for enhancing the effectiveness and sustainability of the subsidy program, emphasizing the importance of holistic approaches to agricultural development.

",crop/breed change,4,improved varieties,3,117,improved varieties,2011,environment,24
"dorward, chirwa and jayne, 2011","this research study examined malawi's agricultural input subsidy program from 2005/06 to 2008/09, focusing on its implementation and impact. parameters involved include nationwide distribution of heavily subsidized fertilizers and seeds, maize production and productivity, food availability, real wages, economic growth, and poverty reduction. the analysis assessed the logistical achievement of the program, its contribution to national maize production, and its economic returns. additionally, it considered challenges such as high international fertilizer prices and maize prices, and suggested measures to enhance program effectiveness and efficiency for sustainable development.
1.	agricultural input subsidy programme (aisp)
evidence: the results showed that the program effectively distributeed fertilizers and improved seeds to farmers through a voucher system.
conclusion: the aisp successfully implemented a voucher system to distribute agricultural inputs, facilitating access for farmers.
2.	voucher system
evidence: results indicated that approximately 50% of farmers were targeted for maize production, with vouchers for fertilizers and improved seeds.
conclusion: the voucher system effectively targeted a significant portion of farmers, ensuring access to essential inputs for maize production.
3.	fertilizer response with hybrid seeds
     evidence: results showed that hybrid seeds exhibit a higher yield response to fertilizers compared to traditional varieties, indicating increased productivity potential.
conclusion: the use of hybrid seeds shows promise for enhancing productivity by maximizing the yield response to fertilizers.
4.	incremental production estimates
evidence: the results indicated that the program resulted in significant incremental production estimates, contributing to improved food self-sufficiency at the national level.
conclusion: the program's impact on incremental production suggests a positive contribution to enhancing national food self-sufficiency.
5.	food self-sufficiency
evidence: the results showed that the program led to improved national food self-sufficiency, evidenced by reduced reliance on imports and increased maize production.
conclusion: the program effectively bolstered food self-sufficiency at the national level, reducing dependency on imports and enhancing domestic production.
6.	economic efficiency
evidence: the results explained that despite high costs, the program yield positive economic returns, particularly when there was a significant yield response to inputs.
conclusion: despite cost challenges, the program demonstrates positive economic returns, especially with a notable yield response to inputs.
7.	sustainability
evidence: the results indicated that challenges existed regarding the economic and political sustainability of the program, including high costs and fiscal efficiency concerns.
conclusion: the program faces sustainability challenges, highlighting the need for addressing cost and efficiency issues to ensure long-term viability.
8.	complementary policies and investments
evidence: the study showed that complementary policies and investments, such as infrastructure development and agricultural research, are crucial for supporting the effectiveness and sustainability of the subsidy program.
conclusion: implementing complementary policies and investments is essential for enhancing the effectiveness and sustainability of the subsidy program, emphasizing the importance of holistic approaches to agricultural development.

",crop/breed change,4,improved varieties,3,117,improved varieties,2011,productivity,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,2,improved varieties,3,119,improved varieties,2016,economic,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,3,improved varieties,3,119,improved varieties,2016,economic,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,4,improved varieties,3,119,improved varieties,2016,economic,24
"homann-kee tui et al., 2013","this study focused on analyzing crop-livestock systems in semi-arid regions of southern africa, specifically in malawi, mozambique, and zimbabwe. it aimed to understand the demand for and supply of maize residues as livestock feed and evaluated the potential contribution of dual-purpose maize varieties to address feed shortages. 
1.	landscape characteristics vs maize potential
evidence: results showed a variability in mixed crop-livestock systems and maize potential across malawi, zimbabwe, and mozambique, with malawi exhibiting the highest agro-ecological potential.
conclusion: tailored interventions are needed to promote dual-purpose maize cultivation across different agro-ecological zones.
2.	farming systems analysis
evidence: the results indicated that variations in maize production, livestock management, feed availability, and maize residue availability were observed across farming systems and spatially.
conclusion: dual-purpose maize cultivars address feed shortages, but success depends on various factors.
3.	cultivar analysis
evidence: the findings revealed that variability in grain yields, harvest index, and residue me content was observed among cimmyt landraces and hybrids, reflecting differences in maize cultivars for grain and residue yield across agro-ecological zones.
conclusion: introduction of dual-purpose maize cultivars with superior traits enhances feed availability and quality.",crop/breed change,1,improved varieties,3,119,improved varieties,2013,economic,24
"homann-kee tui et al., 2013","this study focused on analyzing crop-livestock systems in semi-arid regions of southern africa, specifically in malawi, mozambique, and zimbabwe. it aimed to understand the demand for and supply of maize residues as livestock feed and evaluated the potential contribution of dual-purpose maize varieties to address feed shortages. 
1.	landscape characteristics vs maize potential
evidence: results showed a variability in mixed crop-livestock systems and maize potential across malawi, zimbabwe, and mozambique, with malawi exhibiting the highest agro-ecological potential.
conclusion: tailored interventions are needed to promote dual-purpose maize cultivation across different agro-ecological zones.
2.	farming systems analysis
evidence: the results indicated that variations in maize production, livestock management, feed availability, and maize residue availability were observed across farming systems and spatially.
conclusion: dual-purpose maize cultivars address feed shortages, but success depends on various factors.
3.	cultivar analysis
evidence: the findings revealed that variability in grain yields, harvest index, and residue me content was observed among cimmyt landraces and hybrids, reflecting differences in maize cultivars for grain and residue yield across agro-ecological zones.
conclusion: introduction of dual-purpose maize cultivars with superior traits enhances feed availability and quality.",crop/breed change,4,improved varieties,3,119,improved varieties,2013,economic,24
"bezu et al.,2014","this study examined the decision-making process of rural households in malawi regarding the adoption of improved maize varieties and evaluated its impact on household welfare using three-year panel data. to investigate the distributional effects across wealth and gender groups, the research applied a control function approach and regression to address potential endogeneity concerns related to input subsidies and the area under improved maize. 
1.	improved maize adoption
evidence:  the results indicated a positive correlation between improved maize adoption and household income, own maize consumption, and asset holdings, with access to input subsidy significantly influencing the extent of adoption.
conclusion: financial support through input subsidies is crucial for encouraging the adoption of improved maize varieties.
2.	household characteristics
evidence: the findings revealed that factors such as education level of the household head, land holdings, presence of farm credit organizations in the village, and male labor availability influence the decision to adopt improved maize varieties.
conclusion: educated farmers are more receptive to new agricultural technologies, while larger land holdings and availability of credit facilitates increased adoption.
3.	household welfare
evidence: results showed that improved maize adoption was positively associated with per capita income, own maize consumption, and asset holdings, particularly benefiting poorer households.
conclusion: adoption of improved maize varieties contributes to enhanced household welfare, with poorer households deriving relatively greater benefits in terms of increased own maize production for food security.

",crop/breed change,1,improved varieties,3,119,improved varieties,2014,economic,24
"bezu et al.,2014","this study examined the decision-making process of rural households in malawi regarding the adoption of improved maize varieties and evaluated its impact on household welfare using three-year panel data. to investigate the distributional effects across wealth and gender groups, the research applied a control function approach and regression to address potential endogeneity concerns related to input subsidies and the area under improved maize. 
1.	improved maize adoption
evidence:  the results indicated a positive correlation between improved maize adoption and household income, own maize consumption, and asset holdings, with access to input subsidy significantly influencing the extent of adoption.
conclusion: financial support through input subsidies is crucial for encouraging the adoption of improved maize varieties.
2.	household characteristics
evidence: the findings revealed that factors such as education level of the household head, land holdings, presence of farm credit organizations in the village, and male labor availability influence the decision to adopt improved maize varieties.
conclusion: educated farmers are more receptive to new agricultural technologies, while larger land holdings and availability of credit facilitates increased adoption.
3.	household welfare
evidence: results showed that improved maize adoption was positively associated with per capita income, own maize consumption, and asset holdings, particularly benefiting poorer households.
conclusion: adoption of improved maize varieties contributes to enhanced household welfare, with poorer households deriving relatively greater benefits in terms of increased own maize production for food security.

",crop/breed change,4,improved varieties,3,119,improved varieties,2014,economic,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,2,improved varieties,3,119,improved varieties,2016,environment,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,3,improved varieties,3,119,improved varieties,2016,environment,24
"tesfaye et al., 2016","this study was conducted in malawi, mozambique, zambia, and zimbabwe. it aimed to refine the geospatial targeting of new drought-tolerant maize varieties. the study assessed the potential yield advantage of these varieties and their implications for seed production and marketing.
evidence: analysis showed seasonal drought exposure exceeding 20% in over 1.0 million hectares (mha) of maize-growing areas.
conclusion: southern african countries face significant drought risks during the main cropping season.
2.	spatial distribution of maize and drought
evidence: results showed that maize area and drought frequency varied across different agro-ecological zones (mmes) in the study countries.
conclusion: certain regions, such as dry lowlands and mid-altitude zones, are more prone to drought.
3.	simulated performance of dt maize varieties
evidence: results indicated that new dt varieties exhibited yield advantages ranging from 5% to 40% over the commercial check variety across different drought environments.
conclusion: dt maize varieties show potential in improving yields under drought conditions, albeit with variability across environments.
4.	potential dt maize area and seed demand
evidence: results showed that potential dt maize area and seed demand were estimated, varying across countries.
conclusion: there is substantial market potential for dt maize seed, with variations in adoption rates and seed requirements among the study countries.
5.	geospatial analysis and spatial crop modeling vs variety development
evidence: results indicated that geospatial analysis facilitated the identification of target environments for dt maize varieties deployment.
conclusion: spatially explicit crop modeling aids in understanding genotype-by-environment interactions, guiding the effective deployment of maize germplasm.
6.	market opportunities and adoption factors
evidence: results showed that there was an identification of potential market opportunities for dt seed but noted variations in adoption rates influenced by socio-economic factors.
conclusion: adoption of dt maize varieties is not only influenced by biophysical suitability but also socio-economic, political, and cultural factors.",crop/breed change,4,improved varieties,3,119,improved varieties,2016,environment,24
